scholar_no,student_name,dob_figure,dob_words,gender,father_name,f_qualification,f_occupation,mother_name,m_qualification,m_occupation,address,mobile,sssm_id,family_id,aadhar_no,caste,category,religion,bank_name,account_no,ifsc_code,photo_path,total_standard_fees,discount_amount,final_payable_fees,payment_mode,student_class,section,remaining_balance
NUR08,"Zoya Khan",2021-04-25,"Twenty Five April 21",Female,Aslam,B.A,Driver,Salma,B.A,HW,Indore,9000000008,1008,F08,111100001108,Gen,GEN,Muslim,CBI,10008,CBIN01,img.jpg,15000.00,0.00,15000.00,,Nursery,B,15000.00
NUR09,"Rohan Joshi",2021-05-30,"Thirty May 21",Male,Deepak,B.A,Job,Meena,B.A,HW,Indore,9000000009,1009,F09,111100001109,Gen,GEN,Hindu,BOB,10009,BARB01,img.jpg,15000.00,0.00,15000.00,,Nursery,B,15000.00
NUR10,"Aditya Das",2021-06-05,"Five June 21",Male,Manoj,B.A,Job,Kiran,B.A,HW,Indore,9000000010,1010,F10,111100001110,SC,SC,Hindu,SBI,10010,SBIN01,img.jpg,15000.00,0.00,15000.00,,Nursery,B,15000.00
NUR11,"Kiara Sen",2021-07-07,"Seven July 21",Female,Raj,B.A,Biz,Riya,B.A,HW,Indore,9000000011,1011,F11,111100001111,Gen,GEN,Hindu,SBI,10011,SBIN01,img.jpg,15000.00,0.00,15000.00,,Nursery,C,15000.00
NUR12,"Reyansh Bose",2021-08-08,"Eight Aug 21",Male,Joy,B.A,Biz,Priya,B.A,HW,Indore,9000000012,1012,F12,111100001112,Gen,GEN,Hindu,SBI,10012,SBIN01,img.jpg,15000.00,0.00,15000.00,,Nursery,C,15000.00
NUR13,"Diya Mehra",2021-09-09,"Nine Sept 21",Female,Aman,B.A,Biz,Sana,B.A,HW,Indore,9000000013,1013,F13,111100001113,Gen,GEN,Hindu,SBI,10013,SBIN01,img.jpg,15000.00,0.00,15000.00,,Nursery,C,15000.00
NUR14,"Aryan Goel",2021-10-10,"Ten Oct 21",Male,Vikas,B.A,Biz,Anu,B.A,HW,Indore,9000000014,1014,F14,111100001114,Gen,GEN,Hindu,SBI,10014,SBIN01,img.jpg,15000.00,0.00,15000.00,,Nursery,C,15000.00
NUR15,"Pari Bansal",2021-11-11,"Eleven Nov 21",Female,Rahul,B.A,Biz,Kavita,B.A,HW,Indore,9000000015,1015,F15,111100001115,Gen,GEN,Hindu,SBI,10015,SBIN01,img.jpg,15000.00,0.00,15000.00,,Nursery,C,15000.00
NUR16,"Vivaan Jain",2021-12-12,"Twelve Dec 21",Male,Sumit,B.A,Biz,Rina,B.A,HW,Indore,9000000016,1016,F16,111100001116,Gen,GEN,Jain,SBI,10016,SBIN01,img.jpg,15000.00,0.00,15000.00,,Nursery,D,15000.00
NUR17,"Avni Saxena",2021-01-20,"Twenty Jan 21",Female,Harish,B.A,Biz,Maya,B.A,HW,Indore,9000000017,1017,F17,111100001117,Gen,GEN,Hindu,SBI,10017,SBIN01,img.jpg,15000.00,0.00,15000.00,,Nursery,D,15000.00
NUR18,"Ayaan Pathak",2021-02-22,"Twenty Two Feb 21",Male,Nitin,B.A,Biz,Gauri,B.A,HW,Indore,9000000018,1018,F18,111100001118,Gen,GEN,Hindu,SBI,10018,SBIN01,img.jpg,15000.00,0.00,15000.00,,Nursery,D,15000.00
NUR19,"Sara Ali",2021-03-25,"Twenty Five Mar 21",Female,Saif,B.A,Biz,Amrita,B.A,HW,Indore,9000000019,1019,F19,111100001119,Gen,GEN,Muslim,SBI,10019,SBIN01,img.jpg,15000.00,0.00,15000.00,,Nursery,D,15000.00
NUR20,"Advik Mishra",2021-04-30,"Thirty April 21",Male,Gopal,B.A,Biz,Radha,B.A,HW,Indore,9000000020,1020,F20,111100001120,Gen,GEN,Hindu,SBI,10020,SBIN01,img.jpg,15000.00,0.00,15000.00,,Nursery,D,15000.00
UKG01,"Samaira Jha",2019-01-10,"Ten Jan 19",Female,Manoj,B.Sc,Teacher,Ritu,B.A,HW,Indore,9000000041,3001,F41,333300003101,Gen,GEN,Hindu,SBI,30001,SBIN01,img.jpg,17000.00,0.00,17000.00,,UKG,A,17000.00
UKG02,"Tushar Malviya",2019-02-15,"Fifteen Feb 19",Male,Amit,12th,Biz,Pooja,12th,HW,Indore,9000000042,3002,F42,333300003102,OBC,OBC,Hindu,HDFC,30002,HDFC01,img.jpg,17000.00,0.00,17000.00,,UKG,A,17000.00
UKG03,"Urvashi Rautela",2019-03-20,"Twenty Mar 19",Female,Sunil,B.A,Job,Maya,B.A,HW,Indore,9000000043,3003,F43,333300003103,Gen,GEN,Hindu,BOI,30003,BKID01,img.jpg,17000.00,0.00,17000.00,,UKG,A,17000.00
UKG04,"Varun Dhawan",2019-04-25,"Twenty Five Apr 19",Male,David,Graduate,Director,Kiran,Graduate,HW,Indore,9000000044,3004,F44,333300003104,Gen,GEN,Hindu,Axis,30004,UTIB01,img.jpg,17000.00,0.00,17000.00,,UKG,A,17000.00
UKG05,"Wanika Iyer",2019-05-30,"Thirty May 19",Female,Ram,M.A,Prof,Laxmi,B.A,HW,Indore,9000000045,3005,F45,333300003105,Gen,GEN,Hindu,PNB,30005,PUNB01,img.jpg,17000.00,0.00,17000.00,,UKG,A,17000.00
UKG06,"Xavier Ghori",2019-06-05,"Five June 19",Male,Aslam,8th,Driver,Salma,5th,HW,Indore,9000000046,3006,F46,333300003106,Gen,GEN,Muslim,CBI,30006,CBIN01,img.jpg,17000.00,0.00,17000.00,,UKG,B,17000.00
UKG07,"Yashaswi Jaiswal",2019-07-10,"Ten July 19",Male,Bhupesh,B.Com,Cricketer,Meena,B.Com,HW,Indore,9000000047,3007,F47,333300003107,OBC,OBC,Hindu,BOB,30007,BARB01,img.jpg,17000.00,0.00,17000.00,,UKG,B,17000.00
UKG08,"Ziva Dhoni",2019-08-15,"Fifteen Aug 19",Female,Mahendra,B.Com,Sports,Sakshi,B.A,HW,Indore,9000000048,3008,F48,333300003108,Gen,GEN,Hindu,SBI,30008,SBIN01,img.jpg,17000.00,0.00,17000.00,,UKG,B,17000.00
UKG09,"Abir Chatterjee",2019-09-20,"Twenty Sept 19",Male,Subrata,M.A,Job,Rina,M.A,Teacher,Indore,9000000049,3009,F49,333300003109,Gen,GEN,Hindu,SBI,30009,SBIN01,img.jpg,17000.00,0.00,17000.00,,UKG,B,17000.00
UKG10,"Bhavini Purohit",2019-10-25,"Twenty Five Oct 19",Female,Karan,B.Tech,IT,Nisha,B.A,HW,Indore,9000000050,3010,F50,333300003110,Gen,GEN,Hindu,SBI,30010,SBIN01,img.jpg,17000.00,0.00,17000.00,,UKG,B,17000.00
UKG11,"Chirag Paswan",2019-11-30,"Thirty Nov 19",Male,"Ram Vilas",M.A,Leader,Sushma,B.A,HW,Indore,9000000051,3011,F51,333300003111,SC,SC,Hindu,SBI,30011,SBIN01,img.jpg,17000.00,0.00,17000.00,,UKG,C,17000.00
UKG12,"Drishti Dhami",2019-12-05,"Five Dec 19",Female,Vikas,B.A,Job,Anu,B.A,HW,Indore,9000000052,3012,F52,333300003112,Gen,GEN,Hindu,SBI,30012,SBIN01,img.jpg,17000.00,0.00,17000.00,,UKG,C,17000.00
UKG13,"Eklavya Bhatt",2019-01-22,"Twenty Two Jan 19",Male,Nitin,B.A,Shop,Gauri,B.A,HW,Indore,9000000053,3013,F53,333300003113,Gen,GEN,Hindu,SBI,30013,SBIN01,img.jpg,17000.00,0.00,17000.00,,UKG,C,17000.00
UKG14,"Falak Naaz",2019-02-18,"Eighteen Feb 19",Female,Manoj,B.A,Job,Kiran,B.A,HW,Indore,9000000054,3014,F54,333300003114,Gen,GEN,Muslim,SBI,30014,SBIN01,img.jpg,17000.00,0.00,17000.00,,UKG,C,17000.00
UKG15,"Gautam Rode",2019-03-12,"Twelve Mar 19",Male,Sumit,B.A,Biz,Maya,B.A,HW,Indore,9000000055,3015,F55,333300003115,Gen,GEN,Hindu,SBI,30015,SBIN01,img.jpg,17000.00,0.00,17000.00,,UKG,C,17000.00
UKG16,"Hina Khan",2019-04-08,"Eight Apr 19",Female,Aslam,Graduate,Job,Rina,Graduate,HW,Indore,9000000056,3016,F56,333300003116,Gen,GEN,Muslim,SBI,30016,SBIN01,img.jpg,17000.00,0.00,17000.00,,UKG,D,17000.00
UKG17,"Inder Kumar",2019-05-22,"Twenty Two May 19",Male,Deepak,B.A,Farmer,Lata,B.A,HW,Indore,9000000057,3017,F57,333300003117,OBC,OBC,Hindu,SBI,30017,SBIN01,img.jpg,17000.00,0.00,17000.00,,UKG,D,17000.00
UKG18,"Jhanvi Kapoor",2019-06-14,"Fourteen June 19",Female,Boney,Graduate,Biz,Sridevi,Graduate,HW,Indore,9000000058,3018,F58,333300003118,Gen,GEN,Hindu,SBI,30018,SBIN01,img.jpg,17000.00,0.00,17000.00,,UKG,D,17000.00
UKG19,"Kunal Khemu",2019-07-28,"Twenty Eight July 19",Male,Ravi,B.A,Job,Priya,B.A,HW,Indore,9000000059,3019,F59,333300003119,Gen,GEN,Hindu,SBI,30019,SBIN01,img.jpg,17000.00,0.00,17000.00,,UKG,D,17000.00
UKG20,"Lata Mangeshkar",2019-08-01,"One Aug 19",Female,Dinanath,PhD,Singer,Shevanti,B.A,HW,Indore,9000000060,3020,F60,333300003120,Gen,GEN,Hindu,SBI,30020,SBIN01,img.jpg,17000.00,0.00,17000.00,,UKG,D,17000.00
